domanda,risposta_gold,risposta,se_corretta
Qual è il tipo di accesso numero programmato utilizzato per questo corso?,B. TOLC-I,B,True
Qual è la principale funzione del Coordinatore del Corso?,B. La pianificazione degli indirizzi del Consiglio.,C,False
Qual è la durata del tirocinio curriculare?,A. 150 ore,A,True
Qual è il valore di 1 CFU in ore?,B. 25,B,True
Qual è il periodo in cui si può presentare domanda per ottenere lo status di studente lavoratore?,"C. Dal 4 settembre al 4 ottobre 2024, o dal 19 dicembre 2024 al 31 gennaio 2025",C,True
Qual è il periodo in cui si possono iscrivere alla selezione II per l'accesso al corso?,D. Dal 02/05/2024 al 15/07/2023 alle 13:00.,B,False
Qual è il corso di laurea in Ingegneria Scienze Informatiche?,"B. Il corso di laurea in Ingegneria Scienze Informatiche fornisce un'ampia formazione in diverse aree di specializzazione, tra cui la programmazione, la gestione di sistemi e la teoria dei sistemi.",B,True
Qual è l'obiettivo principale del piano didattico del corso di laurea?,B. Demonstrar la capacità di applicare e comunicare le conoscenze acquisite nel Corso di Studio stesso.,B,True
Qual è l'obiettivo principale del corso di Ingegneria Scienze Informatiche?,D. Descrivere la struttura del corso.,D,True
Qual è il principale servizio pensato per supportare gli studenti nel loro percorso universitario?,C. La mia e-mail Studenti,C,True
Qual è l'indirizzo della sede del corso in Cesena?,"B. Via Montalti 69, 47521 Cesena (FC)",B,True
Qual è la normativa per la presentazione della richiesta di riconoscimento attività lavorativa o extra-universitaria in sostituzione del tirocinio?,D. La normativa per la presentazione della richiesta di riconoscimento attività lavorativa o extra-universitaria in sostituzione del tirocinio è definita nell’articolo 12 del Regolamento universitario.,D,True
Qual è il principale vantaggio del corso di Ingegneria Scienze Informatiche secondo l'autore?,D. La possibilità di continuare un eventuale corso magistrale.,D,True
Qual è il periodo in cui devi iscriverti al corso di studio?,B. Fino al conseguimento del titolo accademico.,A,False
Qual è il servizio universitario che fornisce informazioni sull'organizzazione degli eventi e attività studentesche?,B. Studiare all'estero,D,False
Qual è la possibilità di iniziare un percorso di specializzazione verso tematiche di specifico interesse dello studente in questo corso?,C. Ampia scelta di corsi complementari in numerosi ambiti.,C,True
Qual è l'obiettivo principale del corso di laurea in Ingegneria e Scienze Informatiche?,B. Fornire una cultura scientifica e ingegneristica di base e una conoscenza approfondita delle tecniche e metodologie di progettazione e di strumenti attuali per la realizzazione di soluzioni informatiche.,B,True
Qual è l'obiettivo del corso di Ingegneria Scienze Informatiche?,A. Fornire una cultura scientifica e ingegneristica di base e una conoscenza approfondita delle tecniche e metodologie di progettazione e degli strumenti più attuali per la realizzazione di soluzioni informatiche.,A,True
Qual è il periodo di elezione dei rappresentanti degli studenti per il corso di Studio in Ingegneria e Scienze Informatiche?,B. Periodicamente gli studenti del Corso eleggono i propri rappresentanti per proporre e sostenere le proprie istanze presso il Consiglio di Corso.,B,True
Qual è il compito della Commissione di gestione Assicurazione di Qualità del Corso?,B. Verificare l'attuazione delle azioni di miglioramento e monitorare l'andamento delle carriere degli studenti.,B,True
Qual è il nome del docente inserito nel testo?,C. Non inserito nel testo,C,True
Qual è l'obiettivo principale del nuovo ordinamento didattico del Corso di Laurea in Ingegneria e scienze informatiche?,C. La conservazione della struttura del corso,B,False
Il laureato è in grado di eseguire...,B. Il laureato è in grado di eseguire...,A,False
Qual è la principale funzione del corso di laurea in Ingegneria e Scienze Informatiche?,"B. Progettare, sviluppare e gestire sistemi e applicazioni in ambito informatico",B,True
Qual è il nuovo regolamento per l'uso del Marchio dell'Ateneo?,D. Il nuovo regolamento consente di inserire il marchio sulla copertina e sul frontespizio della prova finale.,D,True
Qual è l'evento che è stato recentemente aperto?,C. Il corso di laurea in Ingegneria e Scienze Informatiche e del Corso di laurea a orientamento professionale in Tecnologie dei Sistemi Informatici,C,True
Qual è il principale compito della segreteria studentesca in questo contesto?,D. La gestione delle carriere degli studenti iscritti al Corso.,D,True
Qual è la durata del tirocinio curriculare?,B. La durata del tirocinio curriculare è pari a 25 ore per ogni credito formativo attribuito a questo tipo di attività nel piano didattico del Corso.,B,True
