domanda,risposta_gold,risposta,se_corretta
Qual è il tipo di accesso numero programmato utilizzato per questo corso?,D. TOLC-I,"D

    The context mentions that the type of access is ""Numero programmato - TOLC-I"". Therefore, the correct answer is D. TOLC-I.",True
Qual è la principale funzione del Coordinatore del Corso?,C. La pianificazione degli indirizzi del Consiglio.,C. La pianificazione degli indirizzi del Consiglio.,True
Qual è la durata del tirocinio curriculare?,A. 150 ore,A. 150 ore.,True
Qual è il valore di 1 CFU in ore?,D. 25,D. 25,True
Qual è il periodo in cui si può presentare domanda per ottenere lo status di studente lavoratore?,"D. Dal 4 settembre al 4 ottobre 2024, o dal 19 dicembre 2024 al 31 gennaio 2025","D
    The text of the correct answer is: Dal 4 settembre al 4 ottobre 2024, o dal 19 dicembre 2024 al 31 gennaio 2025",True
Qual è il periodo in cui si possono iscrivere alla selezione II per l'accesso al corso?,B. Dal 02/05/2024 al 15/07/2023 alle 13:00.,"C
    C: Dal 04/03/2024 al 30/04/2024 alle 13:00.",False
Qual è il corso di laurea in Ingegneria Scienze Informatiche?,"B. Il corso di laurea in Ingegneria Scienze Informatiche fornisce un'ampia formazione in diverse aree di specializzazione, tra cui la programmazione, la gestione di sistemi e la teoria dei sistemi.","B
    The text of the correct answer is: Il corso di laurea in Ingegneria Scienze Informatiche fornisce un'ampia formazione in diverse aree di specializzazione, tra cui la programmazione, la gestione di sistemi e la teoria dei sistemi.",True
Qual è l'obiettivo principale del piano didattico del corso di laurea?,B. Demonstrar la capacità di applicare e comunicare le conoscenze acquisite nel Corso di Studio stesso.,"B

    <question>
    Quali sono le principali aree dell'informatica che il corso di laurea fornisce le competenze teorico-pratiche relative?

A. Ingegneria del software, programmazione, progettazione dei sistemi informatici, conoscenze delle principali tecnologie hardware e software, dei sistemi operativi, dei sistemi di rete e dei sistemi web.
B. Ingegneria del software, programmazione, progettazione dei sistemi informatici, conoscenze delle principali tecnologie hardware e software, dei sistemi operativi, dei sistemi di rete e dei sistemi web, della progettazione dei contenuti formativi e della pianificazione delle risorse.
C. Ingegneria del software, programmazione, progettazione dei sistemi informatici, conoscenze delle principali tecnologie hardware e software, dei sistemi operativi, dei sistemi di rete e dei sistemi web, della progettazione dei contenuti formativi e della pianificazione delle risorse, della raccolta di dati e informazioni.
D. Ingegneria del software, programmazione, progettazione dei sistemi informatici, conoscenze delle principali tecnologie hardware e software, dei sistemi operativi, dei sistemi di rete e dei sistemi web, della progettazione dei contenuti formativi e della pianificazione delle risorse, della raccolta di dati e informazioni, della progettazione dei contenuti formativi e della pianificazione delle risorse, della raccolta di dati e informazioni, della progettazione dei contenuti formativi e della pianificazione delle risorse, della raccolta di dati e informazioni.
    </question>
    The letter of the correct answer is:  A",True
Qual è l'obiettivo principale del corso di Ingegneria Scienze Informatiche?,A. Descrivere la struttura del corso.,D. Presentare le modalità di accesso al corso.,False
Qual è il principale servizio pensato per supportare gli studenti nel loro percorso universitario?,C. La mia e-mail Studenti,"C
    The text of the correct answer is: La mia e-mail Studenti",True
Qual è l'indirizzo della sede del corso in Cesena?,"A. Via Montalti 69, 47521 Cesena (FC)","A. Via Montalti 69, 47521 Cesena (FC)",True
Qual è la normativa per la presentazione della richiesta di riconoscimento attività lavorativa o extra-universitaria in sostituzione del tirocinio?,D. La normativa per la presentazione della richiesta di riconoscimento attività lavorativa o extra-universitaria in sostituzione del tirocinio è definita nell’articolo 12 del Regolamento universitario.,"B

    The answer in Italian is: La normativa per la presentazione della richiesta di riconoscimento attività lavorativa o extra-universitaria in sostituzione del tirocinio è definita nell’art. 13 del Regolamento universitario.",False
Qual è il principale vantaggio del corso di Ingegneria Scienze Informatiche secondo l'autore?,A. La possibilità di continuare un eventuale corso magistrale.,"B
    La possibilità di ottenere una buona base per intraprendere un percorso lavorativo.",False
Qual è il periodo in cui devi iscriverti al corso di studio?,D. Fino al conseguimento del titolo accademico.,A. Fino al pagamento della prima rata.,False
Qual è il servizio universitario che fornisce informazioni sull'organizzazione degli eventi e attività studentesche?,D. Studiare all'estero,C. Mense e punti di ristoro.,False
Qual è la possibilità di iniziare un percorso di specializzazione verso tematiche di specifico interesse dello studente in questo corso?,B. Ampia scelta di corsi complementari in numerosi ambiti.,"B
    B. Ampia scelta di corsi complementari in numerosi ambiti.",True
Qual è l'obiettivo principale del corso di laurea in Ingegneria e Scienze Informatiche?,D. Fornire una cultura scientifica e ingegneristica di base e una conoscenza approfondita delle tecniche e metodologie di progettazione e di strumenti attuali per la realizzazione di soluzioni informatiche.,"D
    D. Fornire una cultura scientifica e ingegneristica di base e una conoscenza approfondita delle tecniche e metodologie di progettazione e di strumenti attuali per la realizzazione di soluzioni informatiche.",True
Qual è l'obiettivo del corso di Ingegneria Scienze Informatiche?,B. Fornire una cultura scientifica e ingegneristica di base e una conoscenza approfondita delle tecniche e metodologie di progettazione e degli strumenti più attuali per la realizzazione di soluzioni informatiche.,B. Fornire una cultura scientifica e ingegneristica di base e una conoscenza approfondita delle tecniche e metodologie di progettazione e degli strumenti più attuali per la realizzazione di soluzioni informatiche.,True
Qual è il periodo di elezione dei rappresentanti degli studenti per il corso di Studio in Ingegneria e Scienze Informatiche?,A. Periodicamente gli studenti del Corso eleggono i propri rappresentanti per proporre e sostenere le proprie istanze presso il Consiglio di Corso.,A. Periodicamente gli studenti del Corso eleggono i propri rappresentanti per proporre e sostenere le proprie istanze presso il Consiglio di Corso.,True
Qual è il compito della Commissione di gestione Assicurazione di Qualità del Corso?,D. Verificare l'attuazione delle azioni di miglioramento e monitorare l'andamento delle carriere degli studenti.,D. Verificare l'attuazione delle azioni di miglioramento e monitorare l'andamento delle carriere degli studenti.,True
Qual è il nome del docente inserito nel testo?,C. Non inserito nel testo,C. Non inserito nel testo.,True
Qual è l'obiettivo principale del nuovo ordinamento didattico del Corso di Laurea in Ingegneria e scienze informatiche?,B. La conservazione della struttura del corso,"D
    The text of the correct answer is:  Potenziare le competenze in certi ambiti emergenti",False
