domanda,risposta_gold,risposta,se_corretta
Qual è il tipo di accesso richiesto per il corso di Laurea in Matematica presso l'Università di Bologna?,B. Numero programmato - TOLC-I,B. Numero programmato - TOLC-I,True
Quale tra le seguenti NON è una funzione svolta dal Consiglio di Corso?,C.  Predisposizione dei calendari e delle commissioni degli esami di laurea.,D.  Esercizio del potere di nomina dei professori del corso.,False
"Per ottenere il riconoscimento dello status di “studente lavoratore” all'Università di Bologna nell'anno accademico 2024/2025, quali sono i requisiti essenziali?","C. Studiare in un corso di Laurea, Laurea Magistrale a ciclo unico o Laurea Magistrale e aver svolto un'attività lavorativa per almeno 3 mesi con un impegno di almeno 4 ore la settimana nei dodici mesi antecedenti alla scadenza dell'avviso, oppure per non meno di trenta giornate lavorative.","C. Studiare in un corso di Laurea, Laurea Magistrale a ciclo unico o Laurea Magistrale e aver svolto un'attività lavorativa per almeno 3 mesi con un impegno di almeno 4 ore la settimana nei dodici mesi antecedenti alla scadenza dell'avviso, oppure per non meno di trenta giornate lavorative.",True
Quali servizi di supporto sono offerti ai studenti all'interno di un singolo Corso di Studio?,D. Servizi di tutorato dedicati al supporto peer to peer.,D. Servizi di tutorato dedicati al supporto peer to peer.,True
"In base al regolamento, quando può essere assegnato un voto di laurea magistrale di 5 o 6 punti?","A. Quando il relatore richiede un voto di 5 o 6 punti e il controrelatore, individuato dal Coordinatore, esprime il proprio parere positivo.",D. Quando il relatore richiede un voto di 5 o 6 punti e lo studente ha una media dei voti non inferiore a 108/110.,False
Quale dei seguenti affermazioni riguardo al TOLC-I è FALSA?,C. Il TOLC-I è composto da 50 quesiti e dura 1 ora e 50 minuti.,A. Il TOLC-I è necessario sostenere presso la stessa sede del Corso di tuo interesse.,False
"Quanto tempo dura il test TOLC-I, uno dei tipi di TOLC previsti per l'accesso a questo corso?",D. 1 ora e 50 minuti,D. 1 ora e 50 minuti,True
Quanto costa l'iscrizione alla selezione per entrare in graduatoria per un corso di laurea presso l'Università di Bologna?,C. 20 €,C. 20 €,True
Quante posizioni totali sono disponibili per il corso di laurea in Scienze dei Materiali nell'ambito della selezione straordinaria per l'anno accademico 2024/2025?,D. 88,A. 5,False
Qual è la data limite per la presentazione del certificato di conoscenza della lingua italiana per la selezione straordinaria?,A. 23/09/2024,C. 30/09/2024,False
"Chi è la Responsabile del procedimento, secondo il testo?",A. dott.ssa Barbara Froio,A. dott.ssa Barbara Froio,True
"Secondo il bando, qual è la modalità di pagamento per l'iscrizione al TOLC?","A. Tramite la piattaforma PagoPA, seguendo le indicazioni su Studenti Online.","A. Tramite la piattaforma PagoPA, seguendo le indicazioni su Studenti Online.",True
Qual è la data limite per l'invio dell'attestato TOLC non ricevuto automaticamente per la prima selezione?,C. 9 maggio 2024,C. 9 maggio 2024,True
Quando è possibile presentare la candidatura alla selezione per l'immatricolazione?,"D. Dal 2 maggio 2024 al 15 luglio 2024, ore 13.00","D. Dal 2 maggio 2024 al 15 luglio 2024, ore 13.00",True
"Quanti posti sono disponibili per il corso di Astronomia (Codice 8004) per i cittadini italiani, dell'Unione Europea, cittadini non-UE equiparati e cittadini non-UE residenti all'estero che devono concorrere con i cittadini UE?",C. 35,C. 35,True
Quanti posti sono riservati ai cittadini non-UE residenti all'estero per il corso di laurea in Fisica a Bologna?,B. 2,B. 2,True
Entro quale data deve essere conseguito il diploma di scuola secondaria superiore da parte degli studenti che si iscrivono al corso con uno dei titoli elencati in 3.2.a?,B. 30 dicembre 2024,B. 30 dicembre 2024,True
"Secondo il bando, quando viene solitamente pubblicato il bando per l'ammissione ad anni successivi al primo?",C.  tra luglio e settembre 2024,C. between July and September 2024,True
"In quale delle seguenti situazioni un cittadino non-UE residente all'estero, titolare di permesso di soggiorno per motivi di studio,  perderà i requisiti per il soggiorno in Italia?",D. Rinunciando formalmente agli studi presso l'Università di Bologna o un'altra università,D. Rinunciando formalmente agli studi presso l'Università di Bologna o un'altra università,True
"Per la prima selezione del TOLC-I, quali date sono valide per la partecipazione?",D. Dal 1° gennaio 2023 al 29 aprile 2024,B. Dal 1° gennaio 2024 al 29 aprile 2024,False
Quali sono gli adattamenti possibili per gli studenti con DSA che scelgono di sostenere il TOLC presso l'Ateneo di Bologna?,D. Tempi aggiuntivi del 30% e ausili necessari come assistenza per la lettura del testo e calcolatrice non scientifica.,D. Tempi aggiuntivi del 30% e ausili necessari come assistenza per la lettura del testo e calcolatrice non scientifica.,True
"Per partecipare alla seconda selezione per l'ammissione ai corsi, qual è il periodo di candidatura?","C. Dal 2 maggio 2024 al 15 luglio 2024, ore 13.00","C. Dal 2 maggio 2024 al 15 luglio 2024, ore 13.00",True
"Secondo le istruzioni fornite, quando è necessario inviare l'attestato TOLC alla Segreteria Studenti?",A. Solo se non è possibile ricevere automaticamente il TOLC associato al tuo nominativo.,A. Solo se non è possibile ricevere automaticamente il TOLC associato al tuo nominativo.,True
"Qual è la data limite per la presentazione di un certificato di conoscenza della lingua italiana per i cittadini non-UE residenti all'estero che devono concorrere con i cittadini UE, per la prima selezione?",B. 22/04/2024,D. 30/04/2024,False
